Data Source	World Development Indicators			\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	Domestic general government health expenditure (% of GDP)	SH.XPD.GHED.GD.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	5.96185923	6.13948441	6.13245678	6.79258394	6.9958024	6.89790821	6.8076849	6.77582026	7.2696805	7.87510061	7.78026438	7.9088397	8.04331493	8.03870392	8.08606339	7.91765547	8.32023335	8.33751106	8.26992512	8.18138885	\N
Belgium	BEL	Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure	SH.UHC.NOP2.TO	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Mortality caused by road traffic injury (per 100,000 population)"	SH.STA.TRAF.P5	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	16.7	15.8	13.9	12	11.4	10.9	10.5	10.8	9.4	9.4	8.1	8.2	7.2	7	6.7	6.7	5.8	5.5	5.4	5.8	\N
Belgium	BEL	"Prevalence of overweight, weight for height, male (% of children under 5)"	SH.STA.OWGH.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2.4	\N	\N	\N	\N	\N	\N
Belgium	BEL	Diabetes prevalence (% of population ages 20 to 79)	SH.STA.DIAB.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	4.8	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Prevalence of current tobacco use, females (% of female adults)"	SH.PRV.SMOK.FE	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	24.3	\N	\N	24	\N	23.9	\N	23.5	\N	23.3	\N	23.1	\N	\N
Belgium	BEL	"Immunization, HepB3 (% of one-year-old children)"	SH.IMM.HEPB	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2	31	46	60	60	60	64	64	77	94	94	98	97	97	97	98	98	98	98	97	97	97	97	\N
Belgium	BEL	People using at least basic drinking water services (% of population)	SH.H2O.BASW.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	100.0000036	99.99999586	99.99999971	100.0000012	100.0000032	100.0000006	100.0000006	99.99999572	99.99999802	100.0000017	99.99999861	100.0000029	99.99999711	99.9999974	99.99999728	99.9999977	100.0000013	99.9999984	99.99999814	99.99999974	99.99999645
Belgium	BEL	"Probability of dying among children ages 5-9 years (per 1,000)"	SH.DYN.0509	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1	0.9	0.9	0.9	0.8	0.8	0.8	0.8	0.7	0.7	0.7	0.7	0.6	0.6	0.6	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.4	0.4	0.4	0.4	0.4	0.4	0.4
Belgium	BEL	"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	19.41	\N	\N	\N	\N	20.31	\N	\N	\N	\N	17.71	\N	\N	\N	\N	18.33	\N	\N	17.15	\N	\N
Belgium	BEL	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	5.762819767	5.731040001	5.98883009	5.436339855	5.380350113	5.310639858	5.435319901	5.316730022	\N	\N	\N	4.852290154	4.577129841	4.300720215	\N	\N	\N	\N	5.372310162	5.411039829	2.988660097	3.049479961	\N	\N	\N	\N	\N	\N	\N	\N	5.795859814	\N	\N	6.332940102	6.458099842	6.442590237	6.431990147	\N	6.630529881	6.590469837	6.451570034	6.461730003	6.425340176	6.376639843	\N	\N
Belgium	BEL	"Pupil-teacher ratio, tertiary"	SE.TER.ENRL.TC.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	12.9671	\N	9.37574	9.58198	9.84561	\N	9.43245	9.78699	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	15.11395	\N	\N	15.08892	15.50875	15.57842	16.20987	16.55331	16.34012	17.3383	17.63425	16.66678	16.95452	\N	\N	\N
Belgium	BEL	"Secondary education, teachers (% female)"	SE.SEC.TCHR.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	43.33164978	43.07902145	43.11167145	\N	\N	47.5762291	\N	\N	\N	\N	\N	\N	\N	\N	\N	51.33992004	52.81344986	51.64464951	52.20750046	52.52603912	53.12073135	52.98677063	53.14899826	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	62.423069	62.64863968	62.94361877	63.0071106	63.05067062	63.28133011	63.44182968	\N
Belgium	BEL	"School enrollment, secondary, male (% net)"	SE.SEC.NENR.MA	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	76.15987	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	95.6409	97.48127	98.58061	96.91298	\N	\N	92.47698	92.18191	93.00415	93.7274	95.84829	97.29944	96.89721	97.62784	95.89939	94.14133	92.99165	92.22014	92.13048	92.81516	93.20421	93.45839	93.23908	93.9077	94.81871	\N	\N	\N
Belgium	BEL	"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"	SE.SEC.CUAT.UP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	14.01618958	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	57.73292923	\N	60.42416	61.69290161	61.7283783	62.75992966	63.21110153	64.27868652	64.01888275	66.21057892	67.0826416	69.15045166	\N	71.44625854	\N
Belgium	BEL	"Children out of school, female (% of female primary school age)"	SE.PRM.UNER.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	3.578730106	\N	2.084009886	1.552260041	2.495500088	2.618340015	5.288949966	5.862170219	6.215439796	4.866769791	3.275899887	1.956140041	\N	\N	2.071619987	3.650279999	2.025850058	2.726180077	2.781339884	2.336570024	\N	\N	\N	0.637809992	\N	0.301779985	1.294199944	2.655410051	3.063679934	2.833400011	1.809030056	1.194280028	1.388659954	1.581259966	1.403620005	1.203320026	1.238989949	1.437549949	1.16900003	0.896099985	0.286599994	0.329890013	0.466259986	\N
Belgium	BEL	"Persistence to last grade of primary, female (% of cohort)"	SE.PRM.PRSL.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	72.26184845	67.47149658	73.53842926	70.46269226	70.50975037	71.24185181	75.3049469	77.08283997	66.01104736	72.0205307	74.54357147	77.65550995	79.18868256	79.88140106	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Gross intake ratio in first grade of primary education, female (% of relevant age group)"	SE.PRM.GINT.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	95.65044	95.4937	102.61639	96.54619	100.63553	100.17689	97.08047	97.40791	93.87027	95.83147	98.57008	98.99208	100.50502	102.54628	101.48063	\N	\N	94.67341	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	97.23276	\N	98.01692	99.39685	96.64191	94.80501	96.64809	98.21292	97.28215	99.94111	98.5628	99.08476	98.47758	98.36288	\N	\N	\N
Belgium	BEL	"Trained teachers in preprimary education, male (% of male teachers)"	SE.PRE.TCAQ.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	Coverage of social safety net programs in poorest quintile (% of population)	per_sa_allsa.cov_q1_tot	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	Price level ratio of PPP conversion factor (GDP) to market exchange rate	PA.NUS.PPPC.RF	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1.102921294	1.074063792	1.153549561	1.089032183	1.125606463	1.266512042	1.208945928	1.045872801	1.039785508	0.992273599	0.829292427	0.798774049	0.821852061	0.988840858	1.102962503	1.109051113	1.096812194	1.203083767	1.269869635	1.181036399	1.107976416	1.156467539	1.056332724	1.070379303	1.061670914	0.887251205	0.863916651	0.874054828	0.904649822	0.858520524	0.851501488
Belgium	BEL	Gross savings (current LCU)	NY.GNS.ICTR.CN	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	72040512934	73730119015	80708599316	84690511619	90543825538	98886196354	96450583535	86609930750	92057119159	88349599504	95507436947	95209352968	99038695016	1.04209E+11	1.06729E+11	1.11938E+11	1.12913E+11	1.19983E+11	1.14236E+11
Belgium	BEL	GNI (current US$)	NY.GNP.MKTP.CD	11807650531	12526323162	13375866329	14357591976	16056233836	17501627559	18795959368	20151866621	21553812529	23898239778	27089802340	30210254913	37705546696	48300143863	56680050746	66428486344	71947319749	83582818233	1.02037E+11	1.16683E+11	1.26898E+11	1.04871E+11	91784983224	86845298619	83204003072	86372091854	1.20265E+11	1.50162E+11	1.63105E+11	1.64539E+11	2.0598E+11	2.11977E+11	2.36359E+11	2.28458E+11	2.50883E+11	2.9435E+11	2.85695E+11	2.58857E+11	2.64807E+11	2.64172E+11	2.42292E+11	2.40966E+11	2.61602E+11	3.23442E+11	3.73654E+11	3.90388E+11	4.13784E+11	4.76867E+11	5.27755E+11	4.90297E+11	4.88334E+11	5.23482E+11	5.07695E+11	5.34493E+11	5.45897E+11	4.6869E+11	4.80303E+11	5.0612E+11	5.47815E+11	5.40432E+11	5.27385E+11
Belgium	BEL	"GDP, PPP (constant 2017 international $)"	NY.GDP.MKTP.PP.KD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	3.53911E+11	3.60398E+11	3.65915E+11	3.62395E+11	3.7409E+11	3.83011E+11	3.88072E+11	4.02794E+11	4.10696E+11	4.25246E+11	4.41051E+11	4.45901E+11	4.53512E+11	4.58219E+11	4.74583E+11	4.85602E+11	4.97996E+11	5.16307E+11	5.18615E+11	5.08135E+11	5.22689E+11	5.31546E+11	5.35475E+11	5.37935E+11	5.46426E+11	5.57581E+11	5.64644E+11	5.73789E+11	5.84227E+11	5.96785E+11	5.63009E+11
Belgium	BEL	GDP deflator: linked series (base year varies by country)	NY.GDP.DEFL.ZS.AD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	64.3109981	66.16098402	68.42668316	71.15911932	72.64940815	73.53629003	73.8867785	74.44656277	75.7908023	76.24471173	77.78075095	79.3229898	80.62389301	82.11550653	83.68801105	85.43129443	87.36606306	89.05373174	90.75362983	91.23750949	92.9637942	94.64392836	96.50000875	97.72677298	98.68708077	100	101.9208507	103.7862803	105.3627109	107.2108472	108.5879966
Belgium	BEL	Adjusted savings: net national savings (% of GNI)	NY.ADJ.NNAT.GN.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	9.202654259	8.575638848	9.715371212	9.661183575	9.810225398	10.68054428	8.458054454	5.417843617	5.994869443	4.134516474	5.107852573	4.532937081	5.106613233	6.044574786	5.992590771	6.340726688	5.963293175	6.343701676	\N
Belgium	BEL	Adjusted savings: education expenditure (% of GNI)	NY.ADJ.AEDU.GN.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	4.1	4.2	4.2	4.8	4.9722304	5.3	5.3	5.5	5.4	5.3	5.3	5.5	5.4	5.2	4.9	5.1	4.9	4.6	4.3	4.3	4.3	4.3	5.2011941	5.3	5.3	2.9	3	3.0374941	3.0374941	3.892958599	4.748423098	5.603887597	5.708391982	5.564267371	5.62	5.6	5.63	5.63	5.95	6.25	6.1	6.12	6.114641125	6.109282249	6.143607621	6.040945906	6.042439988	6.028157426	6.028157426	6.028157426	\N
Belgium	BEL	"Industry (including construction), value added (constant LCU)"	NV.IND.TOTL.KN	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	58720600000	60129700000	63692100000	64698000000	65775600000	69772900000	70070900000	70094200000	70325200000	73740100000	75494000000	76025700000	79704200000	78095700000	74203600000	77756800000	78788700000	77339000000	77216200000	79671800000	81964700000	81265900000	82160500000	82363600000	85095400000	82465700000
Belgium	BEL	"Agriculture, forestry, and fishing, value added (annual % growth)"	NV.AGR.TOTL.KD.ZG	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	2.864125122	3.21676328	0.672098697	6.63039005	-7.110081907	10.37809889	-3.291647497	7.183634634	-2.719606182	8.868057572	-0.270507106	0.60742665	-6.170495538	10.76487252	2.038728535	0.171870524	-14.18001144	0.241576076	18.84738439	-7.114638325	4.34733514	-9.807740865	0.911854103	-6.824667089
Belgium	BEL	Gross capital formation (% of GDP)	NE.GDI.TOTL.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	29.65668882	28.55708894	26.55953581	27.59357504	30.2930162	26.63223657	26.97558008	26.63427689	26.42134146	25.95757386	26.55511066	22.57300126	21.59879229	18.75908881	19.818269	18.97726223	18.5655924	19.63468777	21.8609745	23.52586536	24.34637344	22.84027614	22.59252526	21.93188944	22.01276848	21.79077206	21.63074679	22.30034159	22.34865908	22.68901182	23.7829613	22.6338255	20.74740198	20.96470771	22.66706017	23.6810632	23.97054911	24.60327415	25.93677033	22.1732846	23.12677669	24.50693916	23.68992583	22.4281969	23.13618772	23.62795037	24.25221229	24.45641513	25.36879165	24.96476603	24.16106707
Belgium	BEL	"Gross fixed capital formation, private sector (current LCU)"	NE.GDI.FPRV.CN	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	Final consumption expenditure (constant 2015 US$)	NE.CON.TOTL.KD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1.36497E+11	1.4346E+11	1.51938E+11	1.63049E+11	1.6791E+11	1.71146E+11	1.79125E+11	1.83648E+11	1.90168E+11	1.98391E+11	1.98406E+11	2.00891E+11	2.03834E+11	2.04011E+11	2.04674E+11	2.10345E+11	2.15146E+11	2.19496E+11	2.24082E+11	2.30079E+11	2.34975E+11	2.4249E+11	2.46835E+11	2.45924E+11	2.51103E+11	2.55011E+11	2.59693E+11	2.63437E+11	2.70643E+11	2.7657E+11	2.83997E+11	2.87638E+11	2.91626E+11	2.94727E+11	2.99068E+11	3.02397E+11	3.06812E+11	3.13076E+11	3.19018E+11	3.21863E+11	3.2883E+11	3.31282E+11	3.35846E+11	3.39814E+11	3.42397E+11	3.464E+11	3.50633E+11	3.55393E+11	3.61638E+11	3.68101E+11	3.47378E+11
Belgium	BEL	General government final consumption expenditure (annual % growth)	NE.CON.GOVT.KD.ZG	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	5.532192195	5.888856522	5.338917255	3.409384815	4.504297399	3.683237405	2.274052335	6.040510433	2.48092867	1.936598575	3.136230387	-0.677371258	0.625566748	0.224291782	2.911701128	1.300019933	2.676342612	-0.690845538	1.189930996	-0.386703167	3.643670086	1.502606205	-0.172636547	1.389969149	1.507366427	1.518021101	1.216358974	1.730406302	2.384510326	2.363830207	2.124348894	3.291848645	1.866830909	2.403921765	0.36415388	0.744481283	1.925645229	3.09976289	1.579033586	0.371651996	0.486210217	1.18487647	0.138603288	1.209810917	0.279322493	0.465324721	0.178935752	1.343609399	1.746938076	0.200737736
Belgium	BEL	Export value index (2000 = 100)	TX.VAL.MRCH.XD.WD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	94.87768626	94.24329011	92.88575559	96.71384337	95.43053298	100	101.2999023	115.0188591	136.0343415	163.3084115	177.9613092	195.1744103	229.344309	251.1042921	196.9733781	216.9660103	253.1433423	237.3202379	249.3946108	251.2912751	211.1913898	211.879067	228.6486332	249.4067595	237.854777	223.4584
Belgium	BEL	Insurance and financial services (% of commercial service exports)	TX.VAL.INSF.ZS.WT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	7.233504823	7.329882221	7.365035908	7.652508509	7.805373709	6.691487736	9.105904925	9.929636411	8.447940646	8.270166138	7.75549042	8.500950989	8.649251483	8.64050195	8.416629119	9.297262385	8.9593682	9.171574367	9.585697445
Belgium	BEL	"Merchandise imports by the reporting economy, residual (% of total merchandise imports)"	TM.VAL.MRCH.RS.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.138912385	0.081851307	0.059167556	0.028424846	0.025871426	0.025777002	0.024796837	0.028110816	0.015642836	0.01053685	0.00859914	0.019063197	0.014102335	0.008693082	0.02065555	0.010988075	0.007711521	0.018239837	0.062574455	0.112304411	0.004939055	0.003299771	0.002316092	\N
Belgium	BEL	Food imports (% of merchandise imports)	TM.VAL.FOOD.ZS.UN	\N	\N	13.77965044	13.22325894	13.44590861	14.31928874	13.71713165	14.95276237	13.32034106	12.60783903	13.07520885	13.25046393	13.27362587	13.33236895	11.61361951	12.9529857	12.82563943	13.18624244	12.84318705	12.22185379	11.11743012	11.83109608	12.47213479	12.13437429	12.33670428	11.72917745	11.71731819	11.32227101	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	9.915485915	8.433773754	8.670485715	8.571369653	8.752900557	8.168976712	7.667415848	7.357515743	7.694352455	8.14769092	9.250427139	9.783669189	9.608521431	10.00397842	10.24394371	10.3814086	10.99260375	10.74074217	10.35625322	9.711069298	9.693103328	10.77869341
Belgium	BEL	"Share of tariff lines with international peaks, all products (%)"	TM.TAX.MRCH.IP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	4.208404	4.33863	11.52495	6.321393	6.29284	5.085296	5.157619	7.162161	9.906788	8.83796	6.800004	6.025379	5.60611	6.488461	8.094247	8.349668	5.721504	4.780674	6.039214	5.870751	4.742306	4.646175	5.3808	4.865139	4.976868	4.921036	5.722713	5.766603	5.496077	5.435838	5.339829	5.697177	1.813626
Belgium	BEL	"International tourism, receipts for travel items (current US$)"	ST.INT.TVLR.CD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	4548000000	4844000000	4529000000	4623000000	6472000000	6592000000	6887000000	6935000000	8193000000	9208000000	9845000000	10311000000	11015000000	12020000000	11461000000	11393000000	12750000000	12498000000	13384000000	13918000000	7865000000	7648000000	8396000000	8880000000	8900000000	6603000000
Belgium	BEL	"Completeness of birth registration, urban (%)"	SP.REG.BRTH.UR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Population ages 80 and above, male (% of male population)"	SP.POP.80UP.MA.5Y	1.488953516	1.569722814	1.622688278	1.641689082	1.621913612	1.562605118	1.629346398	1.665799108	1.667706692	1.631823403	1.557113691	1.620169222	1.652914674	1.655567691	1.630015877	1.575855215	1.662536442	1.723575691	1.755414542	1.75697115	1.726881592	1.837420967	1.919878966	1.967757334	1.977311571	1.947784826	2.053812398	2.126134813	2.164729688	2.173284756	2.153651956	2.272763821	2.374128143	2.433841194	2.424586623	2.340819031	2.35443038	2.312987563	2.253088643	2.218297986	2.225342713	2.398438131	2.586657037	2.76441044	2.905307216	3.000868727	3.17868852	3.319587809	3.430685816	3.52116981	3.59781093	3.744101828	3.863113772	3.952733428	4.008275064	4.029514291	4.137979037	4.218642282	4.268474117	4.282428422	4.263661503
Belgium	BEL	"Population ages 55-59, male (% of male population)"	SP.POP.5559.MA.5Y	6.411565934	6.377117388	6.318594707	6.249297465	6.187379526	6.142175762	6.082896081	6.065350515	6.043699832	5.948532937	5.746731055	5.41840519	4.975134335	4.533707477	4.266813667	4.266262161	4.47849447	4.934956204	5.503837292	5.989398791	6.280140551	6.388185831	6.332323128	6.178827904	6.030991341	5.946773944	5.876594079	5.851313726	5.851504142	5.845151387	5.814533474	5.747516238	5.674290349	5.595033978	5.510608862	5.4241239	5.314674538	5.192847209	5.094801932	5.075537017	5.164494461	5.340614302	5.623256503	5.952131324	6.236984798	6.425297653	6.493078862	6.480106125	6.42518071	6.388146631	6.402280285	6.435929592	6.511819998	6.616932946	6.729186874	6.833447656	6.911280096	6.98141682	7.037167872	7.069464844	7.073455848
Belgium	BEL	Population ages 15-64 (% of total population)	SP.POP.1564.TO.ZS	64.61567746	64.20005101	63.94813832	63.80880293	63.69192058	63.55672141	63.34928309	63.18592152	63.06564307	63.00255082	63.00510373	63.03858796	63.11432163	63.24633431	63.45030584	63.72736217	63.924365	64.18846015	64.52321859	64.93280093	65.41321583	65.87082029	66.38140375	66.88360538	67.29924611	67.58221435	67.60693564	67.53677146	67.39954333	67.23908476	67.08242126	66.90234371	66.71526709	66.5234002	66.34093872	66.18180979	65.98131418	65.83441814	65.73016965	65.64586023	65.56770436	65.55241346	65.52918822	65.5082929	65.51523232	65.55887681	65.58719711	65.6696398	65.76525793	65.81434152	65.7832315	65.64750773	65.46890953	65.25842861	65.04598292	64.85353395	64.61143766	64.37944165	64.1558335	63.93523089	63.71179632
Belgium	BEL	"Population ages 0-14, female (% of female population)"	SP.POP.0014.FE.ZS	22.65139106	22.8948202	22.97575577	22.94579489	22.89891438	22.87554189	22.86999943	22.83331946	22.77139631	22.67721119	22.5453919	22.32081902	22.10164332	21.86179031	21.5697607	21.21733978	20.86833469	20.45840374	20.0159766	19.5877676	19.2003916	18.82914922	18.51738034	18.25369224	18.01170653	17.77873079	17.61009995	17.43237974	17.26474713	17.13610327	17.06077964	16.99161335	16.98348924	17.01945099	17.05907152	17.07225384	17.07002666	17.02347343	16.94635717	16.87006043	16.81257868	16.70611275	16.63132493	16.57817198	16.52495902	16.46265809	16.41284173	16.35517107	16.29855068	16.25172966	16.21572925	16.25473021	16.27581193	16.29384766	16.31860858	16.34696723	16.35802662	16.37662112	16.39307266	16.39252026	16.36674097
